@id,@type,notation,prefLabel,definition,inScheme,topConceptOf,remarks,,
https://data.vlaanderen.be/id/concept/Rechtstoestandtype/049,http://www.w3.org/2004/02/skos/core#Concept,049,Opening faillissement met niet-verschoonbaarheid,,https://data.vlaanderen.be/id/conceptscheme/Rechtstoestandtype,https://data.vlaanderen.be/id/conceptscheme/Rechtstoestandtype,,,
https://data.vlaanderen.be/id/concept/Rechtstoestandtype/050,http://www.w3.org/2004/02/skos/core#Concept,050,Opening faillissement,,https://data.vlaanderen.be/id/conceptscheme/Rechtstoestandtype,https://data.vlaanderen.be/id/conceptscheme/Rechtstoestandtype,,,
https://data.vlaanderen.be/id/concept/Rechtstoestandtype/051,http://www.w3.org/2004/02/skos/core#Concept,051,Sluiting faillissement met verschoonbaarheid,,https://data.vlaanderen.be/id/conceptscheme/Rechtstoestandtype,https://data.vlaanderen.be/id/conceptscheme/Rechtstoestandtype,,,
https://data.vlaanderen.be/id/concept/Rechtstoestandtype/052,http://www.w3.org/2004/02/skos/core#Concept,052,Sluiting faillissement met niet-verschoonbaarheid,,https://data.vlaanderen.be/id/conceptscheme/Rechtstoestandtype,https://data.vlaanderen.be/id/conceptscheme/Rechtstoestandtype,,,
https://data.vlaanderen.be/id/concept/Rechtstoestandtype/053,http://www.w3.org/2004/02/skos/core#Concept,053,Sluiting faillissement,,https://data.vlaanderen.be/id/conceptscheme/Rechtstoestandtype,https://data.vlaanderen.be/id/conceptscheme/Rechtstoestandtype,,,
https://data.vlaanderen.be/id/concept/Rechtstoestandtype/090,http://www.w3.org/2004/02/skos/core#Concept,090,Nieuwe statuten,,https://data.vlaanderen.be/id/conceptscheme/Rechtstoestandtype,https://data.vlaanderen.be/id/conceptscheme/Rechtstoestandtype,,,
https://data.vlaanderen.be/id/concept/Rechtstoestandtype/091,http://www.w3.org/2004/02/skos/core#Concept,091,Opschorting (gerechtelijke reorganisatie),,https://data.vlaanderen.be/id/conceptscheme/Rechtstoestandtype,https://data.vlaanderen.be/id/conceptscheme/Rechtstoestandtype,,,
https://data.vlaanderen.be/id/concept/Rechtstoestandtype/100,http://www.w3.org/2004/02/skos/core#Concept,100,Bekendmaking van de entiteit,,https://data.vlaanderen.be/id/conceptscheme/Rechtstoestandtype,https://data.vlaanderen.be/id/conceptscheme/Rechtstoestandtype,,,
https://data.vlaanderen.be/id/concept/Rechtstoestandtype/111,http://www.w3.org/2004/02/skos/core#Concept,111,Doorhaling wegens stopzetting in een EER-register,,https://data.vlaanderen.be/id/conceptscheme/Rechtstoestandtype,https://data.vlaanderen.be/id/conceptscheme/Rechtstoestandtype,,,
https://data.vlaanderen.be/id/concept/Rechtstoestandtype/112,http://www.w3.org/2004/02/skos/core#Concept,112,Heropening van de vereffening,,https://data.vlaanderen.be/id/conceptscheme/Rechtstoestandtype,https://data.vlaanderen.be/id/conceptscheme/Rechtstoestandtype,,,
https://data.vlaanderen.be/id/concept/Rechtstoestandtype/999,http://www.w3.org/2004/02/skos/core#Concept,999,Geannuleerd dossier,Dossier van de entiteit is geannuleerd in de Kruispuntbank van Ondernemingen (KBO).,https://data.vlaanderen.be/id/conceptscheme/Rechtstoestandtype,https://data.vlaanderen.be/id/conceptscheme/Rechtstoestandtype,,,
https://data.vlaanderen.be/id/conceptscheme/Rechtstoestandtype,http://www.w3.org/2004/02/skos/core#ConceptScheme,Rechtstoestandtype,Rechtstoestand,De rechtstoestand van de entiteit.,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
