@id,@type,notation,prefLabel,definition,inScheme,topConceptOf,prefLabel_validatie,
https://data.vlaanderen.be/id/concept/Rechtsvormtype/108,http://www.w3.org/2004/02/skos/core#Concept,108,Coöperatieve vennootschap met beperkte aansprakelijkheid van publiek recht,,https://data.vlaanderen.be/id/conceptscheme/Rechtsvormtype,https://data.vlaanderen.be/id/conceptscheme/Rechtsvormtype,,
https://data.vlaanderen.be/id/concept/Rechtsvormtype/109,http://www.w3.org/2004/02/skos/core#Concept,109,"Coöperatieve vennootschap met beperkte aansprakelijkheid, bij wijze van deelneming, van publiek recht",,https://data.vlaanderen.be/id/conceptscheme/Rechtsvormtype,https://data.vlaanderen.be/id/conceptscheme/Rechtsvormtype,,
https://data.vlaanderen.be/id/concept/Rechtsvormtype/110,http://www.w3.org/2004/02/skos/core#Concept,110,"Rijk, Provincie, Gewest, Gemeenschap",,https://data.vlaanderen.be/id/conceptscheme/Rechtsvormtype,https://data.vlaanderen.be/id/conceptscheme/Rechtsvormtype,,
https://data.vlaanderen.be/id/concept/Rechtsvormtype/114,http://www.w3.org/2004/02/skos/core#Concept,114,Naamloze vennootschap van publiek recht,,https://data.vlaanderen.be/id/conceptscheme/Rechtsvormtype,https://data.vlaanderen.be/id/conceptscheme/Rechtsvormtype,,
https://data.vlaanderen.be/id/concept/Rechtsvormtype/116,http://www.w3.org/2004/02/skos/core#Concept,116,Coöperatieve vennootschap van publiek recht (oud statuut),,https://data.vlaanderen.be/id/conceptscheme/Rechtsvormtype,https://data.vlaanderen.be/id/conceptscheme/Rechtsvormtype,,
https://data.vlaanderen.be/id/concept/Rechtsvormtype/117,http://www.w3.org/2004/02/skos/core#Concept,117,Vereniging zonder winstoogmerk van publiek recht,,https://data.vlaanderen.be/id/conceptscheme/Rechtsvormtype,https://data.vlaanderen.be/id/conceptscheme/Rechtsvormtype,,
https://data.vlaanderen.be/id/concept/Rechtsvormtype/121,http://www.w3.org/2004/02/skos/core#Concept,121,Onderlinge verzekeringsvereniging van publiek recht,,https://data.vlaanderen.be/id/conceptscheme/Rechtsvormtype,https://data.vlaanderen.be/id/conceptscheme/Rechtsvormtype,,
https://data.vlaanderen.be/id/concept/Rechtsvormtype/123,http://www.w3.org/2004/02/skos/core#Concept,123,Beroepsvereniging / Orde,,https://data.vlaanderen.be/id/conceptscheme/Rechtsvormtype,https://data.vlaanderen.be/id/conceptscheme/Rechtsvormtype,,
https://data.vlaanderen.be/id/concept/Rechtsvormtype/124,http://www.w3.org/2004/02/skos/core#Concept,124,Openbare instelling,,https://data.vlaanderen.be/id/conceptscheme/Rechtsvormtype,https://data.vlaanderen.be/id/conceptscheme/Rechtsvormtype,,
https://data.vlaanderen.be/id/concept/Rechtsvormtype/125,http://www.w3.org/2004/02/skos/core#Concept,125,Internationale vereniging zonder winstoogmerk,,https://data.vlaanderen.be/id/conceptscheme/Rechtsvormtype,https://data.vlaanderen.be/id/conceptscheme/Rechtsvormtype,,
https://data.vlaanderen.be/id/concept/Rechtsvormtype/126,http://www.w3.org/2004/02/skos/core#Concept,126,Openbaar centrum voor maatschappelijk welzijn,,https://data.vlaanderen.be/id/conceptscheme/Rechtsvormtype,https://data.vlaanderen.be/id/conceptscheme/Rechtsvormtype,,
https://data.vlaanderen.be/id/concept/Rechtsvormtype/127,http://www.w3.org/2004/02/skos/core#Concept,127,Berg van Barmhartigheid,,https://data.vlaanderen.be/id/conceptscheme/Rechtsvormtype,https://data.vlaanderen.be/id/conceptscheme/Rechtsvormtype,,
https://data.vlaanderen.be/id/concept/Rechtsvormtype/128,http://www.w3.org/2004/02/skos/core#Concept,128,Eredienst,,https://data.vlaanderen.be/id/conceptscheme/Rechtsvormtype,https://data.vlaanderen.be/id/conceptscheme/Rechtsvormtype,,
https://data.vlaanderen.be/id/concept/Rechtsvormtype/129,http://www.w3.org/2004/02/skos/core#Concept,129,Polder / Watering,,https://data.vlaanderen.be/id/conceptscheme/Rechtsvormtype,https://data.vlaanderen.be/id/conceptscheme/Rechtsvormtype,,
https://data.vlaanderen.be/id/concept/Rechtsvormtype/151,http://www.w3.org/2004/02/skos/core#Concept,151,Andere rechtsvorm,,https://data.vlaanderen.be/id/conceptscheme/Rechtsvormtype,https://data.vlaanderen.be/id/conceptscheme/Rechtsvormtype,,
https://data.vlaanderen.be/id/concept/Rechtsvormtype/155,http://www.w3.org/2004/02/skos/core#Concept,155,Lokale politiezone,,https://data.vlaanderen.be/id/conceptscheme/Rechtsvormtype,https://data.vlaanderen.be/id/conceptscheme/Rechtsvormtype,,
https://data.vlaanderen.be/id/concept/Rechtsvormtype/160,http://www.w3.org/2004/02/skos/core#Concept,160,Buitenlandse of internationale publieke organisatie,,https://data.vlaanderen.be/id/conceptscheme/Rechtsvormtype,https://data.vlaanderen.be/id/conceptscheme/Rechtsvormtype,,
https://data.vlaanderen.be/id/concept/Rechtsvormtype/200,http://www.w3.org/2004/02/skos/core#Concept,200,Vennootschap in oprichting,,https://data.vlaanderen.be/id/conceptscheme/Rechtsvormtype,https://data.vlaanderen.be/id/conceptscheme/Rechtsvormtype,,
https://data.vlaanderen.be/id/concept/Rechtsvormtype/206,http://www.w3.org/2004/02/skos/core#Concept,206,Burgerlijke vennootschap onder vorm van coöperatieve vennootschap met onbeperkte aansprakelijkheid,,https://data.vlaanderen.be/id/conceptscheme/Rechtsvormtype,https://data.vlaanderen.be/id/conceptscheme/Rechtsvormtype,,
https://data.vlaanderen.be/id/concept/Rechtsvormtype/208,http://www.w3.org/2004/02/skos/core#Concept,208,Burgerlijke vennootschap onder vorm van coöperatieve vennootschap met beperkte aansprakelijkheid,,https://data.vlaanderen.be/id/conceptscheme/Rechtsvormtype,https://data.vlaanderen.be/id/conceptscheme/Rechtsvormtype,,
